16:22:04.177 [main] INFO  com.daml.navigator.config.Config$ - Loading SDK config file from /Users/claudiagiannoni/Documents/055AABCProjects/AABCAsset/daml.yaml 
16:22:05.423 [da-ui-backend-akka.actor.default-dispatcher-6] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
16:22:05.842 [da-ui-backend-akka.actor.default-dispatcher-11] INFO  c.d.n.store.platform.PlatformStore - Connecting to localhost:6865, using a plaintext connection akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-6, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:05.839UTC
16:22:07.569 [main] INFO  com.daml.navigator.NavigatorBackend$ - DA UI backend server listening on port 7500 
16:22:07.588 [da-ui-backend-akka.actor.default-dispatcher-9] INFO  c.d.n.store.platform.PlatformStore - Time service is not implemented akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-11, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:07.588UTC
16:22:07.594 [da-ui-backend-akka.actor.default-dispatcher-9] INFO  c.d.n.store.platform.PlatformStore - Connected to platform at 'localhost:6865' akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-11, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:07.594UTC
16:22:14.640 [da-ui-backend-akka.actor.default-dispatcher-37] INFO  c.d.n.store.platform.PlatformStore - Starting actor for party Auction House::12204f1e661f90dada9f668583abb90ae8085571c7e99a43a51d937c1b38313868a3 (display name Auction House) akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-9, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:14.639UTC
16:22:14.695 [da-ui-backend-akka.actor.default-dispatcher-37] INFO  c.d.n.store.platform.PlatformStore - Starting actor for party Mr Buyer::12204f1e661f90dada9f668583abb90ae8085571c7e99a43a51d937c1b38313868a3 (display name Mr Buyer) akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-9, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:14.694UTC
16:22:14.823 [da-ui-backend-akka.actor.default-dispatcher-8] INFO  c.d.n.store.platform.PlatformStore - Starting actor for party Mrs Owner::12204f1e661f90dada9f668583abb90ae8085571c7e99a43a51d937c1b38313868a3 (display name Mrs Owner) akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-9, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:14.822UTC
16:22:15.011 [da-ui-backend-akka.actor.default-dispatcher-9] INFO  c.d.n.store.platform.PlatformStore - Starting actor for party P::12204f1e661f90dada9f668583abb90ae8085571c7e99a43a51d937c1b38313868a3 (display name P) akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-9, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:15.010UTC
16:22:15.158 [da-ui-backend-akka.actor.default-dispatcher-37] INFO  c.d.n.store.platform.PlatformStore - Starting actor for party Solicitor 1::12204f1e661f90dada9f668583abb90ae8085571c7e99a43a51d937c1b38313868a3 (display name Solicitor 1) akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-10, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:15.156UTC
16:22:15.193 [da-ui-backend-akka.actor.default-dispatcher-38] INFO  c.d.n.store.platform.PlatformStore - Starting actor for party Solicitor 2::12204f1e661f90dada9f668583abb90ae8085571c7e99a43a51d937c1b38313868a3 (display name Solicitor 2) akkaAddress=akka://da-ui-backend, sourceThread=da-ui-backend-akka.actor.default-dispatcher-10, akkaSource=akka://da-ui-backend/user/$a, sourceActorSystem=da-ui-backend, akkaTimestamp=16:22:15.192UTC
